2021-04-25 15:29:26: == Sync Started by User Command
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/IcePhysics.physicsMaterial2D
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/IcePhysics.physicsMaterial2D.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/JumpButton.cs
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/JumpButton.cs.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/MainMenu.cs
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/MainMenu.cs.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/New Physics Material 2D 1.physicsMaterial2D
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/New Physics Material 2D 1.physicsMaterial2D.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/Player&Material/PlayButton.prefab
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/Player&Material/PlayButton.prefab.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/BackgroundMenu.png
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/BackgroundMenu.png.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/ButtonMenu.png
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/ButtonMenu.png.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/ButtonMenuNumberLevel.png
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/ButtonMenuNumberLevel.png.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/Cave/CaveLevelSprites.png
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/Cave/CaveLevelSprites.png.meta
2021-04-25 15:29:26: Удалена Папка Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/Cave
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/Cave.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/PenguinMenu.png
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/PenguinMenu.png.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/Snow.png
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/Snow.png.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/Snow2.png
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/PNG/Snow2.png.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/Scripts/Camera.cs
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/Scripts/Camera.cs.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/Sopot.physicsMaterial2D
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Assets/Sopot.physicsMaterial2D.meta
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/00/00ab795aa42b71e0b9f045d8c74f7702
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/01/01d7a9d32e7300ffe7fcecb85445dab0
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/03/03eb1b563493f782d9dc2135a9900080
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/06/06cfd666e411ee305b3cd3f781565e12
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/06/06f117ed970868cf6b7654d7ddb59a9e
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/08/08262e4736c8d690384cb06be9b41b28
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/0a/0af4447e6f69a5567988077b6223fc0b
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/0e/0ea9c95ba7ad0a4225d598ef868b2de6
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/0e/0ec5ae15f6c1e9eeab30ecaf86ec4421
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/10/109fed0e2f5dc5d703f7224c78cc78b4
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/10/10fd0e101cb2bd116fcda6f04e0ef93f
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/11/117a2a00cee92018f208fd137b04692d
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/11/11e8b4caf9e1ffdec137791e1033be38
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/12/12778c136a842750a9a16cd800a9d990
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/13/1375b66690698aa65d775ec42291680e
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/15/15276b9521104e7de6c9368a78844c90
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/16/1693d38709cfb6826930c389d5f04eac
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/18/18b34b0f6590ff34ef3a00249fb43785
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/18/18d542381559bab2921bf750c7371c2a
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/19/19c90f56ded2118b250d2069b45ad944
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1b/1bc01928a20422309dcabcddd6f62311
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1d/1d27f5321b2781807b916a984febae8a
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1d/1d2e9814752f584a776f42b9f23a7bc7
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1d/1deb0b60de2ba6b9a03847284abdb58d
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1e/1e31f4d448beda7dca6776efca6dac46
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1f/1f4c079dffbdaa5ba22e7840a1e1539a
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1f/1f4e0be1b31dfb06374491b3b627423c
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1f/1f992818231e703ba8c07ac24240043e
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1f/1fe84b989576e2e277baea72915133ad
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/20/20fd820fc3c21ebf0166ed763f176652
